413		AZ		8		686953
414		CA		50		685506
415		TX		31		685469
416		FL		24		682235
417		VA		11		677025
418		NJ		13		674488
419		IL		19		672626
420		CA		51		671930
421		TN		9		671756
422		MA		10		669936
423		NY		29		666944
424		CO		7		665338
425		PA		19		665144
426		TX		32		663702
427		MO		9		660704
428		CA		52		658882
429		MN		8		658220
430		GA		13		657084
431		IA		5		655598
432		FL		25		654377
433		OH		18		650239
434		CA		53		646330
435		NC		13		645931
436		UT		4		645684
437		NY		30		644329
438		TX		33		643276
439		MI		16		642646
440		IN		10		642025

